49.382458	50.000000	396	1	2356	0.000000 	 GenLen: 	 50 	 PFSize: 	 51 	 HypVol: 	 1275.00000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 100.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 2258  	LogFile:	_mop3ok_01max_50_008.txt	00000000000000000000000000000000000000000000000000	1	1563055541
48.973816	50.000000	1188	0	1988	1.000000 	 GenLen: 	 50 	 PFSize: 	 51 	 HypVol: 	 1275.00000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 100.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 1890  	LogFile:	_mop3ok_01max_50_009.txt	11111111111111111111111111111111111111111111111111	0	1563055550
44.960510	50.000000	590	0	986	1.000000 	 GenLen: 	 50 	 PFSize: 	 51 	 HypVol: 	 1275.00000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 100.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 888  	LogFile:	_mop3ok_01max_50_010.txt	11111111111111111111111111111111111111111111111111	0	1563055555
47.148960	50.000000	396	0	796	1.000000 	 GenLen: 	 50 	 PFSize: 	 51 	 HypVol: 	 1275.00000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 100.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 614  	LogFile:	_mop3ok_01max_50_011.txt	11111111111111111111111111111111111111111111111111	0	1563055560
49.506424	50.000000	400	0	596	0.000000 	 GenLen: 	 50 	 PFSize: 	 51 	 HypVol: 	 1275.00000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 100.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 498  	LogFile:	_mop3ok_01max_50_012.txt	00000000000000000000000000000000000000000000000000	0	1563055565
47.219643	50.000000	1184	0	2166	1.000000 	 GenLen: 	 50 	 PFSize: 	 51 	 HypVol: 	 1275.00000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 100.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 2068  	LogFile:	_mop3ok_01max_50_013.txt	11111111111111111111111111111111111111111111111111	0	1563055570
48.038361	50.000000	600	0	796	1.000000 	 GenLen: 	 50 	 PFSize: 	 51 	 HypVol: 	 1275.00000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 100.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 698  	LogFile:	_mop3ok_01max_50_014.txt	11111111111111111111111111111111111111111111111111	0	1563055575
49.157413	50.000000	1184	0	1384	0.000000 	 GenLen: 	 50 	 PFSize: 	 51 	 HypVol: 	 1275.00000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 100.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 1286  	LogFile:	_mop3ok_01max_50_015.txt	00000000000000000000000000000000000000000000000000	0	1563055580
48.814358	50.000000	190	0	978	0.000000 	 GenLen: 	 50 	 PFSize: 	 51 	 HypVol: 	 1275.00000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 100.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 880  	LogFile:	_mop3ok_01max_50_016.txt	00000000000000000000000000000000000000000000000000	0	1563055585
38.743217	50.000000	400	0	400	0.000000 	 GenLen: 	 50 	 PFSize: 	 51 	 HypVol: 	 1275.00000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 100.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 302  	LogFile:	_mop3ok_01max_50_017.txt	00000000000000000000000000000000000000000000000000	0	1563055590
42.443008	50.000000	782	0	1176	1.000000 	 GenLen: 	 50 	 PFSize: 	 51 	 HypVol: 	 1275.00000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 100.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 1002  	LogFile:	_mop3ok_01max_50_018.txt	11111111111111111111111111111111111111111111111111	0	1563055595
48.550247	50.000000	796	0	1786	0.000000 	 GenLen: 	 50 	 PFSize: 	 51 	 HypVol: 	 1275.00000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 100.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 1688  	LogFile:	_mop3ok_01max_50_019.txt	00000000000000000000000000000000000000000000000000	0	1563055600
46.359142	50.000000	198	0	398	1.000000 	 GenLen: 	 50 	 PFSize: 	 51 	 HypVol: 	 1275.00000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 100.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 300  	LogFile:	_mop3ok_01max_50_020.txt	11111111111111111111111111111111111111111111111111	0	1563055605
35.573902	50.000000	200	0	592	0.000000 	 GenLen: 	 50 	 PFSize: 	 51 	 HypVol: 	 1275.00000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 100.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 494  	LogFile:	_mop3ok_01max_50_021.txt	00000000000000000000000000000000000000000000000000	0	1563055613
49.281288	50.000000	198	0	992	0.000000 	 GenLen: 	 50 	 PFSize: 	 51 	 HypVol: 	 1275.00000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 100.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 894  	LogFile:	_mop3ok_01max_50_022.txt	00000000000000000000000000000000000000000000000000	0	1563055618
48.225258	50.000000	598	0	996	1.000000 	 GenLen: 	 50 	 PFSize: 	 51 	 HypVol: 	 1275.00000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 100.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 898  	LogFile:	_mop3ok_01max_50_023.txt	11111111111111111111111111111111111111111111111111	0	1563055623
26.694540	50.000000	200	0	400	0.000000 	 GenLen: 	 50 	 PFSize: 	 51 	 HypVol: 	 1275.00000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 100.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 302  	LogFile:	_mop3ok_01max_50_024.txt	00000000000000000000000000000000000000000000000000	0	1563055628
