0.125305	1.000000	2677	0	26587232	0.342857 	 PFSize: 	 6 	 HypVol: 	 0.99564173 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 0.20070844 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 13574  	LogFile:	_mogomea_zz_paint_08_02__014.txt	0010100000001100001100010010100000101000001101000000111101010100010101	340	1555436307
0.125305	1.000000	2652	0	25822618	0.342857 	 PFSize: 	 6 	 HypVol: 	 0.99564173 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 0.20070844 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 3512  	LogFile:	_mogomea_zz_paint_08_02__015.txt	0010100000001110000010000111000001001000001101000011010101100011100001	340	1555436315
0.125305	1.000000	9354	0	25077368	0.342857 	 PFSize: 	 6 	 HypVol: 	 0.99564173 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 0.20070844 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 22923  	LogFile:	_mogomea_zz_paint_08_02__016.txt	0100010000001101000010000110100000101000010110000001110011000010110101	234	1555436385
0.125305	1.000000	1149	0	25462179	0.342857 	 PFSize: 	 6 	 HypVol: 	 0.99564173 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 0.20070844 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 12545  	LogFile:	_mogomea_zz_paint_08_02__017.txt	0001010000001100001010001010100001001000010101000000111010001011110001	324	1555436435
0.125305	1.000000	4452	0	25004383	0.342857 	 PFSize: 	 6 	 HypVol: 	 0.99564173 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 0.20070844 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 14436  	LogFile:	_mogomea_zz_paint_08_02__018.txt	0010100000001100001010011001000001010000101010000101001010000011110110	228	1555436495
0.125305	1.000000	2511	0	25940777	0.342857 	 PFSize: 	 6 	 HypVol: 	 0.99564173 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 0.20070844 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 6617  	LogFile:	_mogomea_zz_paint_08_02__019.txt	0001100000001100001010010101000001001110000001001001001010011010100101	316	1555436525
0.125305	1.000000	5267	0	25662017	0.342857 	 PFSize: 	 6 	 HypVol: 	 0.99564173 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 0.20070844 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 10820  	LogFile:	_mogomea_zz_paint_08_02__020.txt	0001100000001100010100001011000001001000110001000101100010011000101101	316	1555436569
0.125305	1.000000	2878	0	25001096	0.342857 	 PFSize: 	 6 	 HypVol: 	 0.99564173 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 0.20070844 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 8708  	LogFile:	_mogomea_zz_paint_08_02__021.txt	1000100000001100001100000111000010001001000110010000011010000011101101	233	1555436622
0.125305	1.000000	2731	0	25002337	0.342857 	 PFSize: 	 6 	 HypVol: 	 0.99564173 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 0.20070844 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 11413  	LogFile:	_mogomea_zz_paint_08_02__022.txt	0001010000001110000100000111000000110001100001010000101100000111001110	239	1555436649
0.125305	1.000000	536	0	25867598	0.342857 	 PFSize: 	 6 	 HypVol: 	 0.99564173 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 0.20070844 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 17451  	LogFile:	_mogomea_zz_paint_08_02__023.txt	0010100000001100001100001101000000101000100101000010011010000110101110	240	1555436657
